,id_project,name,score,position,platform,year,week
0,17936,Quickswap,56.11,137,polygon-pos,2023,39
1,18792,Tutellus,50.90,1840,polygon-pos,2023,39
2,10287,Kommunitas,48.24,286,polygon-pos,2023,39
3,16476,Bullieverse,46.99,315,polygon-pos,2023,39
4,13269,Playermon,44.26,369,polygon-pos,2023,39
5,12135,Snook,40.84,448,polygon-pos,2023,39
6,16534,Rainbow Token,38.83,523,polygon-pos,2023,39
7,17063,MetaShooter,36.39,671,polygon-pos,2023,39
8,18112,Battle World,36.30,683,polygon-pos,2023,39
9,12155,FireStarter,35.71,771,polygon-pos,2023,39
10,17936,Quickswap,57.82,124,polygon-pos,2023,40
11,10287,Kommunitas,51.86,222,polygon-pos,2023,40
12,16476,Bullieverse,46.74,329,polygon-pos,2023,40
13,18792,Tutellus,45.24,360,polygon-pos,2023,40
14,13269,Playermon,44.34,379,polygon-pos,2023,40
15,12135,Snook,41.18,454,polygon-pos,2023,40
16,16534,Rainbow Token,38.63,547,polygon-pos,2023,40
17,13802,IX Token,37.51,592,polygon-pos,2023,40
18,15802,Affyn,36.75,647,polygon-pos,2023,40
19,18112,Battle World,36.47,675,polygon-pos,2023,40
20,17936,Quickswap,57.96,118,polygon-pos,2023,41
21,11565,Crypto Raiders,56.46,141,polygon-pos,2023,41
22,10287,Kommunitas,48.79,268,polygon-pos,2023,41
23,16476,Bullieverse,45.23,346,polygon-pos,2023,41
24,13269,Playermon,44.22,368,polygon-pos,2023,41
25,12135,Snook,41.24,431,polygon-pos,2023,41
26,12382,Fabwelt,41.10,436,polygon-pos,2023,41
27,16534,Rainbow Token,37.74,562,polygon-pos,2023,41
28,13802,IX Token,36.85,606,polygon-pos,2023,41
29,15802,Affyn,36.11,706,polygon-pos,2023,41
30,17936,Quickswap,61.38,65,polygon-pos,2023,42
31,10287,Kommunitas,48.85,237,polygon-pos,2023,42
32,16476,Bullieverse,48.30,251,polygon-pos,2023,42
33,18189,GeniuX,45.50,310,polygon-pos,2023,42
34,13269,Playermon,44.41,329,polygon-pos,2023,42
35,12135,Snook,41.37,407,polygon-pos,2023,42
36,12382,Fabwelt,39.98,472,polygon-pos,2023,42
37,17063,MetaShooter,37.25,565,polygon-pos,2023,42
38,15802,Affyn,36.31,638,polygon-pos,2023,42
39,13802,IX Token,36.25,645,polygon-pos,2023,42
40,17936,Quickswap,57.82,97,polygon-pos,2023,43
41,10287,Kommunitas,49.32,252,polygon-pos,2023,43
42,16476,Bullieverse,47.21,297,polygon-pos,2023,43
43,13269,Playermon,44.24,355,polygon-pos,2023,43
44,12135,Snook,42.04,414,polygon-pos,2023,43
45,12382,Fabwelt,40.97,456,polygon-pos,2023,43
46,16534,Rainbow Token,38.97,528,polygon-pos,2023,43
47,16037,Sheesha Finance Polygon,36.80,632,polygon-pos,2023,43
48,15802,Affyn,36.55,655,polygon-pos,2023,43
49,13802,IX Token,36.05,732,polygon-pos,2023,43
50,17936,Quickswap,61.95,39,polygon-pos,2023,44
51,10287,Kommunitas,49.43,226,polygon-pos,2023,44
52,16476,Bullieverse,48.43,254,polygon-pos,2023,44
53,13269,Playermon,44.52,329,polygon-pos,2023,44
54,12135,Snook,40.23,466,polygon-pos,2023,44
55,16534,Rainbow Token,39.68,482,polygon-pos,2023,44
56,17063,MetaShooter,37.45,584,polygon-pos,2023,44
57,16037,Sheesha Finance Polygon,37.05,609,polygon-pos,2023,44
58,18112,Battle World,36.54,675,polygon-pos,2023,44
59,13802,IX Token,36.32,722,polygon-pos,2023,44
60,17936,Quickswap,62.27,48,polygon-pos,2023,45
61,16476,Bullieverse,53.34,147,polygon-pos,2023,45
62,10287,Kommunitas,49.17,223,polygon-pos,2023,45
63,18792,Tutellus,42.08,2037,polygon-pos,2023,45
64,12135,Snook,39.65,495,polygon-pos,2023,45
65,13802,IX Token,38.40,554,polygon-pos,2023,45
66,16534,Rainbow Token,37.59,597,polygon-pos,2023,45
67,17063,MetaShooter,36.57,674,polygon-pos,2023,45
68,13269,Playermon,36.52,684,polygon-pos,2023,45
69,12155,FireStarter,36.42,704,polygon-pos,2023,45
70,17936,Quickswap,58.96,73,polygon-pos,2023,46
71,16476,Bullieverse,53.42,157,polygon-pos,2023,46
72,13564,Wicrypt,50.75,210,polygon-pos,2023,46
73,16037,Sheesha Finance Polygon,50.19,224,polygon-pos,2023,46
74,10287,Kommunitas,49.86,236,polygon-pos,2023,46
75,13802,IX Token,44.19,362,polygon-pos,2023,46
76,12135,Snook,43.23,382,polygon-pos,2023,46
77,16534,Rainbow Token,39.27,535,polygon-pos,2023,46
78,17063,MetaShooter,37.24,644,polygon-pos,2023,46
79,16753,GensoKishi Metaverse,36.65,724,polygon-pos,2023,46
80,17936,Quickswap,58.76,57,polygon-pos,2023,47
81,10287,Kommunitas,48.98,207,polygon-pos,2023,47
82,16476,Bullieverse,48.54,214,polygon-pos,2023,47
83,13269,Playermon,43.91,317,polygon-pos,2023,47
84,12135,Snook,41.55,375,polygon-pos,2023,47
85,12382,Fabwelt,40.83,415,polygon-pos,2023,47
86,16037,Sheesha Finance Polygon,38.51,509,polygon-pos,2023,47
87,16534,Rainbow Token,37.62,562,polygon-pos,2023,47
88,17063,MetaShooter,36.95,587,polygon-pos,2023,47
89,15802,Affyn,36.32,655,polygon-pos,2023,47
90,17936,Quickswap,58.36,60,polygon-pos,2023,48
91,10287,Kommunitas,49.72,190,polygon-pos,2023,48
92,16476,Bullieverse,48.16,226,polygon-pos,2023,48
93,13269,Playermon,44.03,313,polygon-pos,2023,48
94,12382,Fabwelt,41.56,381,polygon-pos,2023,48
95,16534,Rainbow Token,41.21,397,polygon-pos,2023,48
96,12135,Snook,40.91,416,polygon-pos,2023,48
97,18112,Battle World,39.52,471,polygon-pos,2023,48
98,16037,Sheesha Finance Polygon,39.20,483,polygon-pos,2023,48
99,17063,MetaShooter,37.15,588,polygon-pos,2023,48
100,17936,Quickswap,47.50,59,polygon-pos,2023,49
101,10287,Kommunitas,37.93,231,polygon-pos,2023,49
102,16476,Bullieverse,36.51,274,polygon-pos,2023,49
103,12135,Snook,33.77,337,polygon-pos,2023,49
104,13269,Playermon,33.06,358,polygon-pos,2023,49
105,16534,Rainbow Token,31.68,417,polygon-pos,2023,49
106,16037,Sheesha Finance Polygon,28.24,641,polygon-pos,2023,49
107,17063,MetaShooter,26.15,747,polygon-pos,2023,49
108,18899,Catheon Gaming,26.00,765,polygon-pos,2023,49
109,13802,IX Token,25.88,773,polygon-pos,2023,49
110,17936,Quickswap,47.54,66,polygon-pos,2023,50
111,22800,The Unfettered Souls,41.28,171,polygon-pos,2023,50
112,10287,Kommunitas,38.44,245,polygon-pos,2023,50
113,22801,Aree Shards,37.38,283,polygon-pos,2023,50
114,16476,Bullieverse,37.09,303,polygon-pos,2023,50
115,22789,SolarX,36.91,318,polygon-pos,2023,50
116,22608,Geodnet,36.87,324,polygon-pos,2023,50
117,22545,Veloce,36.36,363,polygon-pos,2023,50
118,22866,Floyx,35.96,380,polygon-pos,2023,50
119,22847,Wistaverse,35.63,391,polygon-pos,2023,50
120,17936,Quickswap,57.46,65,polygon-pos,2023,51
121,10287,Kommunitas,47.99,206,polygon-pos,2023,51
122,16476,Bullieverse,45.98,250,polygon-pos,2023,51
123,13269,Playermon,42.67,307,polygon-pos,2023,51
124,12382,Fabwelt,39.74,404,polygon-pos,2023,51
125,17063,MetaShooter,35.97,587,polygon-pos,2023,51
126,16534,Rainbow Token,35.85,598,polygon-pos,2023,51
127,18112,Battle World,33.87,756,polygon-pos,2023,51
128,16037,Sheesha Finance Polygon,33.66,783,polygon-pos,2023,51
129,16753,GensoKishi Metaverse,32.95,855,polygon-pos,2023,51
130,17936,Quickswap,49.12,53,polygon-pos,2023,52
131,10287,Kommunitas,33.90,368,polygon-pos,2023,52
132,15802,Affyn,33.87,375,polygon-pos,2023,52
133,16233,FoodChain Global,33.63,405,polygon-pos,2023,52
134,13269,Playermon,33.59,409,polygon-pos,2023,52
135,12155,FireStarter,33.14,456,polygon-pos,2023,52
136,14162,OneRare,33.13,459,polygon-pos,2023,52
137,16753,GensoKishi Metaverse,32.78,508,polygon-pos,2023,52
138,18112,Battle World,31.64,576,polygon-pos,2023,52
139,24701,DeCats,31.13,600,polygon-pos,2023,52
140,17936,Quickswap,56.72,51,polygon-pos,2023,53
141,18112,Battle World,37.37,409,polygon-pos,2023,53
142,13269,Playermon,37.26,424,polygon-pos,2023,53
143,12155,FireStarter,36.92,458,polygon-pos,2023,53
144,15802,Affyn,36.47,504,polygon-pos,2023,53
145,16753,GensoKishi Metaverse,36.28,515,polygon-pos,2023,53
146,14162,OneRare,36.01,537,polygon-pos,2023,53
147,16476,Bullieverse,35.95,540,polygon-pos,2023,53
148,15466,Kasta,34.17,621,polygon-pos,2023,53
149,10287,Kommunitas,34.12,625,polygon-pos,2023,53
150,17936,Quickswap,60.62,56,polygon-pos,2024,2
151,10287,Kommunitas,45.26,253,polygon-pos,2024,2
152,16476,Bullieverse,44.31,282,polygon-pos,2024,2
153,13269,Playermon,42.58,326,polygon-pos,2024,2
154,12382,Fabwelt,37.67,493,polygon-pos,2024,2
155,12155,FireStarter,36.93,547,polygon-pos,2024,2
156,18112,Battle World,36.92,549,polygon-pos,2024,2
157,15802,Affyn,36.85,556,polygon-pos,2024,2
158,14162,OneRare,36.75,571,polygon-pos,2024,2
159,16753,GensoKishi Metaverse,35.42,683,polygon-pos,2024,2
160,17936,Quickswap,64.11,39,polygon-pos,2024,3
161,13269,Playermon,43.83,292,polygon-pos,2024,3
162,16476,Bullieverse,43.34,308,polygon-pos,2024,3
163,10287,Kommunitas,41.55,348,polygon-pos,2024,3
164,12382,Fabwelt,39.16,422,polygon-pos,2024,3
165,15802,Affyn,37.49,494,polygon-pos,2024,3
166,18112,Battle World,37.16,529,polygon-pos,2024,3
167,14162,OneRare,36.66,575,polygon-pos,2024,3
168,12155,FireStarter,36.36,607,polygon-pos,2024,3
169,13599,Index Coop - ETH 2x Flexible Leverage Index (Polygon),34.36,760,polygon-pos,2024,3
170,17936,Quickswap,55.66,94,polygon-pos,2024,4
171,10287,Kommunitas,46.04,216,polygon-pos,2024,4
172,13269,Playermon,43.88,270,polygon-pos,2024,4
173,12382,Fabwelt,39.86,361,polygon-pos,2024,4
174,16476,Bullieverse,37.18,476,polygon-pos,2024,4
175,15802,Affyn,36.87,508,polygon-pos,2024,4
176,16753,GensoKishi Metaverse,36.36,553,polygon-pos,2024,4
177,18112,Battle World,36.26,562,polygon-pos,2024,4
178,12155,FireStarter,36.17,568,polygon-pos,2024,4
179,17080,Giddy,35.06,644,polygon-pos,2024,4
180,17936,Quickswap,46.65,440,polygon-pos,2024,5
181,16476,Bullieverse,44.28,552,polygon-pos,2024,5
182,13269,Playermon,43.56,592,polygon-pos,2024,5
183,12382,Fabwelt,40.91,700,polygon-pos,2024,5
184,10287,Kommunitas,40.90,704,polygon-pos,2024,5
185,18112,Battle World,37.04,1062,polygon-pos,2024,5
186,15802,Affyn,36.84,1098,polygon-pos,2024,5
187,12155,FireStarter,36.74,1114,polygon-pos,2024,5
188,16753,GensoKishi Metaverse,36.02,1238,polygon-pos,2024,5
189,17080,Giddy,35.28,1368,polygon-pos,2024,5
190,17936,Quickswap,51.42,235,polygon-pos,2024,6
191,10287,Kommunitas,45.34,378,polygon-pos,2024,6
192,16476,Bullieverse,44.66,402,polygon-pos,2024,6
193,13269,Playermon,44.22,424,polygon-pos,2024,6
194,16037,Sheesha Finance Polygon,43.21,494,polygon-pos,2024,6
195,13802,IX Token,42.80,511,polygon-pos,2024,6
196,12382,Fabwelt,42.69,518,polygon-pos,2024,6
197,12135,Snook,42.63,522,polygon-pos,2024,6
198,18132,SPORT,42.09,558,polygon-pos,2024,6
199,13599,Index Coop - ETH 2x Flexible Leverage Index (Polygon),40.41,645,polygon-pos,2024,6
