category,date,performance
Gems,2023-01-01,-0.027009056293445362
Gems,2023-01-07,-0.0671991381903175
Gems,2023-01-08,0.1310256779306458
Gems,2023-01-14,0.08444966043797861
Gems,2023-01-21,0.4252841655863027
Gems,2023-01-28,0.03025314036902509
Gems,2023-02-04,0.10229110155254242
Gems,2023-02-05,-0.0080561698610162
Gems,2023-02-18,0.4225370326078653
Gems,2023-02-25,-0.018690107511814297
Gems,2023-03-04,-0.07710610803213126
Gems,2023-03-11,-0.07868222683779431
Gems,2023-03-18,0.3733409420525862
Gems,2023-03-25,-0.06275910064861265
Gems,2023-04-01,0.004825967220425759
Gems,2023-04-08,0.12894216956043267
Gems,2023-04-09,0.07496484771734001
Gems,2023-04-15,0.3817876421866034
Gems,2023-04-16,0.0043034622066242395
Gems,2023-04-22,-0.03126830841525548
Gems,2023-04-23,0.0367450478031696
Gems,2023-04-29,0.015703532575772595
Gems,2023-04-30,0.06045878710228672
Gems,2023-05-06,-0.0054875680182496665
Gems,2023-05-07,-0.11914620437262657
Gems,2023-05-13,0.00022064517065263634
Gems,2023-05-20,-0.068411278208183
Gems,2023-05-22,-0.022396954896277448
Gems,2023-05-27,-0.029588744832578118
Gems,2023-05-29,-0.10140515064692494
Gems,2023-06-03,-0.03654210337057597
Gems,2023-06-10,-0.14793378305638064
Gems,2023-06-11,-0.09645802526873667
Gems,2023-06-24,0.010743908175587707
Gems,2023-07-01,-0.015504413322571908
Gems,2023-07-08,-0.03999927287931486
Gems,2023-07-15,0.4762859270730722
Gems,2023-07-22,-0.18318061624741608
Gems,2023-07-23,-0.001969756122595666
Gems,2023-07-29,-0.09648481628926979
Gems,2023-07-30,0.039304343967158366
Gems,2023-08-05,-0.048477397587662945
Gems,2023-08-12,0.5598037494682342
Gems,2023-08-19,-0.05266534050931364
Gems,2023-08-26,0.00674788719002781
Gems,2023-09-02,-0.020221377974446803
Gems,2023-09-09,-0.07469564040380541
Gems,2023-09-16,0.061264259511217
Gems,2023-09-23,0.10577403070343032
Gems,2023-09-30,0.17751695998960165
Gems,2023-10-07,0.18831860467447248
Gems,2023-10-14,-0.07948209632310464
Gems,2023-10-21,-0.15494935793098497
Gems,2023-10-28,0.0693512978072376
Gems,2023-11-04,-0.005742716399170943
Gems,2023-11-11,0.09006041031546572
Gems,2023-11-18,-0.19698151007216844
Gems,2023-11-25,0.1330598726709765
Gems,2023-12-02,0.03875154402583407
Gems,2023-12-09,0.11175271813328155
Gems,2023-12-16,0.04497498849539883
Gems,2023-12-23,0.0534043119401887
Gems,2023-12-30,0.08935217267340982
Gems,2024-01-06,-0.13632328056579415
Gems,2024-01-13,-0.05018249571251421
Gems<15,2023-01-01,-0.06792023078297713
Gems<15,2023-01-08,0.0873208905284777
Gems<15,2023-01-22,0.1381025935771248
Gems<15,2023-01-29,-0.0399385560675882
Gems<15,2023-02-18,0.22723307958550562
Gems<15,2023-02-25,-0.0502551877502697
Gems<15,2023-03-04,-0.04132205017013832
Gems<15,2023-03-11,-0.0727127816875692
Gems<15,2023-03-18,0.1628312856062462
Gems<15,2023-03-25,-0.09924973733767492
Gems<15,2023-04-01,-0.01916945142249325
Gems<15,2023-04-08,-0.08355433874325661
Gems<15,2023-04-09,0.0111325164224355
Gems<15,2023-04-15,-0.000889967963436
Gems<15,2023-04-22,-0.06841443507188455
Gems<15,2023-04-29,-0.05137772020818535
Gems<15,2023-05-06,-0.05424148151240541
Gems<15,2023-05-07,-0.1857867863698767
Gems<15,2023-05-21,-0.016911935929020034
Gems<15,2023-05-28,0.028100387397330874
Gems<15,2023-05-29,-0.13024874012395055
Gems<15,2023-06-04,-0.04121884422146861
Gems<15,2023-06-11,-0.052842663727993074
Gems<15,2023-06-24,0.03231400121248842
Gems<15,2023-07-01,-0.07013004548835874
Gems<15,2023-07-08,-0.026741715879001343
Gems<15,2023-07-15,0.05467872798301785
Gems<15,2023-07-22,0.0057451081710545564
Gems<15,2023-07-29,-0.047294088203489675
Gems<15,2023-08-05,-0.08983438566062513
Gems<15,2023-08-12,0.5557583692825395
Gems<15,2023-08-19,-0.06362645996882277
Gems<15,2023-08-26,-0.07991585319927448
Gems<15,2023-09-02,-0.04455486953747443
Gems<15,2023-09-09,-0.12440385263415857
Gems<15,2023-09-16,-0.12251056203113768
Gems<15,2023-09-23,0.0013757693179178598
Gems<15,2023-09-30,0.05214412895773539
Gems<15,2023-10-07,0.07061180313828842
Gems<15,2023-10-14,-0.07670523718809369
Gems<15,2023-10-21,-0.0702710509336652
Gems<15,2023-10-28,0.07538120061130393
Gems<15,2023-11-04,0.010944856059393247
Gems<15,2023-11-11,0.07073446338699704
Gems<15,2023-11-18,-0.04389902086953215
Gems<15,2023-11-25,0.07487324164222389
Gems<15,2023-12-02,0.03513408656555234
Gems<15,2023-12-09,0.042136993796373326
Gems<15,2023-12-16,-0.022003345188664286
Gems<15,2023-12-23,0.07314277565461096
Gems<15,2023-12-30,0.0729989383245814
Gems<15,2024-01-06,-0.10598306005859748
Gems<15,2024-01-13,0.07543605016730869
Gems<25,2023-01-01,-0.057625303745637464
Gems<25,2023-01-08,0.05914946711315424
Gems<25,2023-01-15,0.2539573897974341
Gems<25,2023-01-22,0.10320607915489305
Gems<25,2023-01-29,-0.01231898995900335
Gems<25,2023-02-18,0.2045587035783069
Gems<25,2023-02-25,-0.0816295082433802
Gems<25,2023-03-04,0.09310270983419483
Gems<25,2023-03-11,-0.09181201307646444
Gems<25,2023-03-18,0.14246775651731308
Gems<25,2023-03-25,-0.09829287537235741
Gems<25,2023-04-01,-0.00257805450962323
Gems<25,2023-04-08,-0.04924610539822965
Gems<25,2023-04-09,0.0111325164224355
Gems<25,2023-04-15,0.01415111374366147
Gems<25,2023-04-22,-0.07079994114256832
Gems<25,2023-04-29,-0.06117179036453432
Gems<25,2023-05-06,-0.07289931665602653
Gems<25,2023-05-21,-0.00454114264021855
Gems<25,2023-05-28,0.09290830968423645
Gems<25,2023-05-29,-0.1022901007772413
Gems<25,2023-06-04,0.0327035370868421
Gems<25,2023-06-11,-0.052842663727993074
Gems<25,2023-06-24,0.02055567368732836
Gems<25,2023-07-01,-0.02074885019565097
Gems<25,2023-07-08,0.015369191560752999
Gems<25,2023-07-15,0.05769461023099716
Gems<25,2023-07-22,-0.024972317621580302
Gems<25,2023-07-29,-0.042730512525060105
Gems<25,2023-08-05,-0.0725334961830115
Gems<25,2023-08-12,0.10047105792941535
Gems<25,2023-08-19,-0.054503278263875646
Gems<25,2023-08-26,-0.0785101038513321
Gems<25,2023-09-02,-0.024412221211804405
Gems<25,2023-09-09,-0.11119203583248378
Gems<25,2023-09-16,-0.10528586856938242
Gems<25,2023-09-23,-0.013075131290371033
Gems<25,2023-09-30,0.0449915078989076
Gems<25,2023-10-07,0.08202533180410723
Gems<25,2023-10-14,-0.07444857700289212
Gems<25,2023-10-21,-0.06511729166798273
Gems<25,2023-10-28,0.06443998638293044
Gems<25,2023-11-04,0.006270927982809006
Gems<25,2023-11-11,0.05791316145265477
Gems<25,2023-11-18,-0.06755474510694652
Gems<25,2023-11-25,0.07499719469765369
Gems<25,2023-12-02,0.02581506837827884
Gems<25,2023-12-09,0.03634997678791657
Gems<25,2023-12-16,0.06688559103983158
Gems<25,2023-12-23,0.043761755644571784
Gems<25,2023-12-30,-0.00930654675666433
Gems<25,2024-01-06,-0.07236625537552108
Gems<25,2024-01-13,0.06836443275085277
